repository_metadata_software_name,Contains software,Does not contain software,No software search,error,not academic repo
独自,0.0,0.0,0.0,0.0,1.0
ptcloud,0.0,0.0,0.0,1.0,0.0
kit bibliothek,0.0,0.0,1.0,0.0,0.0
keystone dls (tklite),0.0,0.0,1.0,0.0,0.0
jsp mysql alfresco,0.0,0.0,0.0,1.0,0.0
jopss,0.0,0.0,0.0,0.0,1.0
joai,0.0,0.0,0.0,1.0,0.0
jadox,0.0,0.0,1.0,0.0,0.0
ispektra,0.0,0.0,0.0,1.0,0.0
xoops,0.0,0.0,0.0,1.0,0.0
is mu,0.0,0.0,1.0,0.0,0.0
pubman,0.0,0.5,0.5,0.0,0.0
repox,0.0,0.0,0.0,0.0,1.0
scholarworks,0.0,0.0,1.0,0.0,0.0
lightgallery,0.0,0.0,1.0,0.0,0.0
intranda viewer,0.0,0.0,0.0,0.0,1.0
inmagic dbtextworks,0.0,0.0,1.0,0.0,0.0
scielo,0.0,0.0,1.0,0.0,0.0
indigo,0.0,0.0,1.0,0.0,0.0
imperia,0.0,0.0,1.0,0.0,0.0
imis,0.0,0.0,0.0,1.0,0.0
scix,0.0,0.0,0.0,1.0,0.0
hzb oai/pmh,0.0,0.0,0.0,1.0,0.0
self build cms,0.0,0.0,1.0,0.0,0.0
hyperwave,0.0,0.0,1.0,0.0,0.0
hyku,0.0,0.0,1.0,0.0,0.0
hubzero,0.0,0.0,0.0,0.0,1.0
html,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
setiadi,0.0,0.0,1.0,0.0,0.0
intranda,0.0,0.0,1.0,0.0,0.0
limb gallery,0.0,1.0,0.0,0.0,0.0
marz content management system,0.0,0.0,0.0,1.0,0.0
proprietary,0.0,0.0,1.0,0.0,0.0
perl based,0.0,0.0,0.5,0.0,0.5
pandora,0.0,0.0,0.5,0.5,0.0
ori oai,0.0,0.0,0.5,0.5,0.0
pleade,0.0,0.0,0.0,1.0,0.0
plone,0.0,0.0,0.0,0.0,1.0
opencourseware,0.0,0.0,0.0,1.0,0.0
pmb,0.0,0.0,1.0,0.0,0.0
open journal systems,0.0,0.0,0.5,0.5,0.0
open archive,0.0,0.0,1.0,0.0,0.0
omp,0.0,0.0,0.0,0.0,1.0
omeka,0.0,0.25,0.25,0.25,0.25
omega psir,0.0,0.0,1.0,0.0,0.0
ojs,0.0,0.0,1.0,0.0,0.0
ohs (open harvester system),0.0,0.0,0.0,1.0,0.0
ocs,0.0,0.0,0.0,1.0,0.0
oaicat,0.0,0.0,0.5,0.5,0.0
nps,0.0,0.0,0.0,1.0,0.0
nou rau,0.0,0.0,0.0,1.0,0.0
nitya,0.0,0.0,0.0,1.0,0.0
neliti,0.0,0.0,1.0,0.0,0.0
nalis r,0.0,0.0,0.0,1.0,0.0
mysql database,0.0,0.0,1.0,0.0,0.0
polaris os,0.0,0.0,0.5,0.0,0.5
mitos,0.0,0.0,0.5,0.5,0.0
"microsoft access, editor",0.0,0.0,0.0,0.0,1.0
micro cds/isis,0.0,0.0,0.0,0.0,1.0
memory alpha,0.0,0.0,1.0,0.0,0.0
mediawiki,0.0,0.0,0.0,0.0,1.0
mediatum,0.0,0.0,1.0,0.0,0.0
shunsaku,0.0,0.0,0.0,1.0,0.0
grunt metaparser,0.0,0.0,0.0,1.0,0.0
greenstone,0.0,0.25,0.25,0.25,0.25
goobi viewer,0.0,0.0,1.0,0.0,0.0
visual library,0.0,0.0,1.0,0.0,0.0
dare,0.0,0.0,1.0,0.0,0.0
cybertesis,0.0,0.0,0.5,0.5,0.0
cwis,0.0,0.0,0.5,0.5,0.0
vnau`s repository code (php),0.0,1.0,0.0,0.0,0.0
vts,0.0,0.0,0.0,1.0,0.0
crispa,0.0,1.0,0.0,0.0,0.0
contentpro,0.0,0.0,1.0,0.0,0.0
web based application (php & mysql),0.0,0.0,1.0,0.0,0.0
collection index+,0.0,0.0,1.0,0.0,0.0
cocoon,0.0,0.0,1.0,0.0,0.0
ckan,0.0,0.0,1.0,0.0,0.0
wildfire,0.0,0.0,0.0,1.0,0.0
ubka,0.0,0.0,0.0,1.0,0.0
cdsware,0.0,0.0,0.0,1.0,0.0
wordpress,0.0,0.25,0.25,0.25,0.25
bibdia,0.0,0.0,0.0,1.0,0.0
bespoke system,0.0,0.0,1.0,0.0,0.0
bdunco,0.0,0.0,1.0,0.0,0.0
açıkarşiv,0.0,0.0,0.0,1.0,0.0
axsis,0.0,0.0,1.0,0.0,0.0
avesis,0.0,0.0,1.0,0.0,0.0
aubrey,0.0,0.0,1.0,0.0,0.0
atom,0.0,0.0,1.0,0.0,0.0
worktribe,0.0,0.0,1.0,0.0,0.0
amlad,0.0,0.0,1.0,0.0,0.0
xoonips,0.0,0.0,0.5,0.5,0.0
4.1,0.0,0.0,1.0,0.0,0.0
cadic,0.0,0.0,1.0,0.0,0.0
phiadra,0.0,0.0,1.0,0.0,0.0
digibib,0.0,0.0,0.5,0.5,0.0
digitool,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
geoportal conterra,0.0,0.0,0.0,0.0,1.0
gae,0.0,0.0,0.0,1.0,0.0
flora (ever team),0.0,0.0,0.0,1.0,0.0
sirsi corporation,0.0,0.0,1.0,0.0,0.0
size=20,0.0,0.0,0.0,0.0,1.0
fez,0.0,0.0,0.5,0.5,0.0
slims,0.0,0.0,1.0,0.0,0.0
eyebase mediasuite,0.0,0.0,1.0,0.0,0.0
ex libris primo,0.0,0.0,1.0,0.0,0.0
etd db,0.0,0.0,0.5,0.5,0.0
slims senayan,0.0,0.0,1.0,0.0,0.0
sobekcm,0.0,0.5,0.0,0.5,0.0
socionet,0.0,0.0,0.0,1.0,0.0
epub,0.0,0.0,0.0,1.0,0.0
typo,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
star database,0.0,1.0,0.0,0.0,0.0
earmas,0.0,0.25,0.25,0.25,0.25
e repository,0.0,0.5,0.5,0.0,0.0
e lib,0.0,0.0,0.0,1.0,0.0
e cats,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
tede,0.0,0.0,1.0,0.0,0.0
drupal,0.0,0.25,0.25,0.25,0.25
dot net,0.0,0.0,1.0,0.0,0.0
doks,0.0,0.0,0.5,0.5,0.0
dlibra,0.0,0.25,0.25,0.25,0.25
dlcm technology,0.0,0.0,1.0,0.0,0.0
dkum,0.0,0.0,1.0,0.0,0.0
django,0.0,0.0,0.5,0.0,0.5
diva portal,0.0,0.0,1.0,0.0,0.0
sunsite,0.0,0.0,0.0,1.0,0.0
pkp   ojs,0.0,0.0,1.0,0.0,0.0
weko,0.2,0.2,0.2,0.2,0.2
0,0.2,0.2,0.2,0.2,0.2
opus,0.2,0.2,0.2,0.2,0.2
contentdm,0.2,0.2,0.2,0.2,0.2
dspace,0.2,0.2,0.2,0.2,0.2
eprints,0.2,0.2,0.2,0.2,0.2
fedora,0.2,0.2,0.2,0.2,0.2
hal,0.2,0.2,0.2,0.2,0.2
iliswave j,0.2,0.2,0.2,0.2,0.2
vital,0.25,0.0,0.25,0.25,0.25
digital commons,0.25,0.25,0.25,0.0,0.25
infolib,0.25,0.25,0.25,0.25,0.0
islandora,0.25,0.0,0.25,0.25,0.25
open repository,0.25,0.25,0.25,0.25,0.0
invenio,0.25,0.25,0.25,0.25,0.0
samvera,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
haplo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
vufind,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
figshare,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
pure,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
cspace,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
custom,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
mycore,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
advanced rapid library,0.5,0.0,0.5,0.0,0.0
dataverse,0.5,0.5,0.0,0.0,0.0
librecat,0.5,0.0,0.5,0.0,0.0
tind,0.5,0.0,0.5,0.0,0.0
esploro,0.5,0.0,0.5,0.0,0.0
iris,0.5,0.5,0.0,0.0,0.0
equella,0.5,0.0,0.5,0.0,0.0
ir+,0.5,0.0,0.0,0.5,0.0
hyrax,1.0,0.0,0.0,0.0,0.0
artudis,1.0,0.0,0.0,0.0,0.0
brocade,1.0,0.0,0.0,0.0,0.0
cdsware and apache,1.0,0.0,0.0,0.0,0.0
cera,1.0,0.0,0.0,0.0,0.0
edoc,1.0,0.0,0.0,0.0,0.0
t2r2システム,1.0,0.0,0.0,0.0,0.0
escidoc,1.0,0.0,0.0,0.0,0.0
oracle,1.0,0.0,0.0,0.0,0.0
unknown,1.0,0.0,0.0,0.0,0.0
dataverse project,1.0,0.0,0.0,0.0,0.0
maxwell,1.0,0.0,0.0,0.0,0.0
figshare for institutions,1.0,0.0,0.0,0.0,0.0
spire,1.0,0.0,0.0,0.0,0.0
